-5558,8716,7669,6023,-7038,-4156,-6930,-7369,-6918,1409,8893,-2436
1039,-2628,7535,7790,-4236,-5423,-9114,5859,5191,939,-4223,2608
3376,8670,-945,8193,9465,-5093,6148,-4123,408,-495,9611,-7383
-500,6520,-4572,5330,-8913,3786,931,7428,8400,8137,2506,-9891
238,5096,-8340,615,-7433,9867,-7492,-4343,-4800,9238,-2026,8115
7107,-350,260,-7356,2430,5553,-4477,5602,2890,-4326,5073,8800
6205,1575,-287,2407,2809,-6324,-2403,-1240,3498,-8688,-345,-2488
-7021,3087,6337,1099,2926,4902,-7790,-1846,-447,538,9292,7367
-3349,-7731,-8360,1261,-5328,9093,7211,-9969,-5775,-8601,-3894,-9047
2479,1205,-4926,9493,-6271,-6119,5259,-9207,3107,-766,8320,-9749
-760,6961,7981,-9816,-2910,-9833,-7842,-1682,-9752,2708,-1361,-809
-7798,1685,-6472,-4134,-6170,-831,-229,-5856,8463,-3666,9244,-4914
9995,-4873,-3133,-6647,-1647,-2389,-723,-3315,8204,-3418,8622,-3900
-9638,635,7129,7419,-1742,-5735,4538,-1123,7793,5254,-1781,-4053
-6872,-3962,-1278,3789,3055,7551,-3241,8474,-3009,-5733,-5751,-5655
-7799,4911,-4358,-231,-4217,1057,1516,-8397,-9514,1573,-4260,-1634
5180,8260,-7242,-3284,775,2186,-312,-2457,-7075,-7432,9083,-4313
-3117,-928,3215,1086,-2431,3065,9470,-7886,9915,-3688,2512,-7780
-838,-2844,-223,-7081,-1858,8976,290,-1930,-3653,8626,9714,7689
8333,-9902,3920,-2137,-8954,-1449,6957,-2713,-1232,-2601,-9127,3883
3838,1097,-16,1783,8983,-6376,7956,8834,-2544,-9604,5371,1442
-727,-3073,3798,1664,8217,-5840,-1570,-808,-9404,-9897,2443,9751
8918,-9179,-9970,9824,-8703,3133,6873,6027,978,8759,-653,-6965
7265,-4933,-3509,1117,2690,8575,6224,-1057,-286,9257,-8480,3139
9618,9624,4002,-152,8201,4072,7935,-7398,7250,-476,5766,-9925
7085,-3264,-5365,9152,747,-4440,4240,-5403,2691,-7690,-5658,5077
974,-3990,-339,-3146,5857,1280,-1630,-8465,-5286,3755,-1085,-7397
-5487,-2521,6851,-6246,-1906,2879,8135,-2858,7258,-2309,3881,5970
-916,-3852,-3936,4999,6960,4185,-8029,-7213,-3093,-630,-9167,-4731
9351,-6177,-969,8556,4233,7159,-842,-9982,-5097,-362,-109,-7183
-4423,-7573,1683,7136,-1390,-979,-5192,8789,-5422,-8172,-636,-6490
-6305,4338,-4476,-7735,-2931,5963,-5308,9262,-3693,-9879,3237,-6732
-4086,-4647,9500,-8530,1068,-3674,-5623,-3935,-4641,-6855,-9984,-2333
8102,2830,-4809,1073,-9513,-9424,-4440,-8741,7568,-2900,9413,-6232
7358,-4196,-3235,1572,6613,-3796,-8533,4476,5325,-2495,9589,2075
9424,-3646,-1657,212,6319,8986,-9218,2854,2916,217,8441,-3658
-6786,4728,1432,2379,8876,-3912,134,7749,-3194,-6163,-6313,-2678
